Year,Total Vaccinations (per hundred),Total Deaths (per million),Aged Over 65,Poor Cardiovascular Death Rate,Diabetes Prevalence,Male Smokers,Female Smokers
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,,16.984,105.599,7.37,16.6,12.0
2020,,0.026,16.984,105.599,7.37,16.6,12.0
2020,,0.026,16.984,105.599,7.37,16.6,12.0
2020,,0.026,16.984,105.599,7.37,16.6,12.0
2020,,0.026,16.984,105.599,7.37,16.6,12.0
2020,,0.026,16.984,105.599,7.37,16.6,12.0
2020,,0.026,16.984,105.599,7.37,16.6,12.0
2020,,0.026,16.984,105.599,7.37,16.6,12.0
2020,,0.026,16.984,105.599,7.37,16.6,12.0
2020,,0.104,16.984,105.599,7.37,16.6,12.0
2020,,0.182,16.984,105.599,7.37,16.6,12.0
2020,,0.208,16.984,105.599,7.37,16.6,12.0
2020,,0.26,16.984,105.599,7.37,16.6,12.0
2020,,0.286,16.984,105.599,7.37,16.6,12.0
2020,,0.39,16.984,105.599,7.37,16.6,12.0
2020,,0.39,16.984,105.599,7.37,16.6,12.0
2020,,0.468,16.984,105.599,7.37,16.6,12.0
2020,,0.494,16.984,105.599,7.37,16.6,12.0
2020,,0.572,16.984,105.599,7.37,16.6,12.0
2020,,0.624,16.984,105.599,7.37,16.6,12.0
2020,,0.91,16.984,105.599,7.37,16.6,12.0
2020,,1.066,16.984,105.599,7.37,16.6,12.0
2020,,1.092,16.984,105.599,7.37,16.6,12.0
2020,,1.456,16.984,105.599,7.37,16.6,12.0
2020,,1.638,16.984,105.599,7.37,16.6,12.0
2020,,1.872,16.984,105.599,7.37,16.6,12.0
2020,,3.589,16.984,105.599,7.37,16.6,12.0
2020,,4.863,16.984,105.599,7.37,16.6,12.0
2020,,6.007,16.984,105.599,7.37,16.6,12.0
2020,,7.281,16.984,105.599,7.37,16.6,12.0
2020,,8.4,16.984,105.599,7.37,16.6,12.0
2020,,9.856,16.984,105.599,7.37,16.6,12.0
2020,,11.286,16.984,105.599,7.37,16.6,12.0
2020,,13.21,16.984,105.599,7.37,16.6,12.0
2020,,14.771,16.984,105.599,7.37,16.6,12.0
2020,,16.955,16.984,105.599,7.37,16.6,12.0
2020,,18.619,16.984,105.599,7.37,16.6,12.0
2020,,20.258,16.984,105.599,7.37,16.6,12.0
2020,,23.456,16.984,105.599,7.37,16.6,12.0
2020,,26.239,16.984,105.599,7.37,16.6,12.0
2020,,30.972,16.984,105.599,7.37,16.6,12.0
2020,,33.962,16.984,105.599,7.37,16.6,12.0
2020,,38.071,16.984,105.599,7.37,16.6,12.0
2020,,41.01,16.984,105.599,7.37,16.6,12.0
2020,,43.87,16.984,105.599,7.37,16.6,12.0
2020,,47.615,16.984,105.599,7.37,16.6,12.0
2020,,51.256,16.984,105.599,7.37,16.6,12.0
2020,,55.728,16.984,105.599,7.37,16.6,12.0
2020,,59.785,16.984,105.599,7.37,16.6,12.0
2020,,63.998,16.984,105.599,7.37,16.6,12.0
2020,,66.442,16.984,105.599,7.37,16.6,12.0
2020,,70.239,16.984,105.599,7.37,16.6,12.0
2020,,74.192,16.984,105.599,7.37,16.6,12.0
2020,,77.755,16.984,105.599,7.37,16.6,12.0
2020,,82.591,16.984,105.599,7.37,16.6,12.0
2020,,87.948,16.984,105.599,7.37,16.6,12.0
2020,,92.473,16.984,105.599,7.37,16.6,12.0
2020,,95.464,16.984,105.599,7.37,16.6,12.0
2020,,99.937,16.984,105.599,7.37,16.6,12.0
2020,,104.826,16.984,105.599,7.37,16.6,12.0
2020,,109.741,16.984,105.599,7.37,16.6,12.0
2020,,114.291,16.984,105.599,7.37,16.6,12.0
2020,,118.478,16.984,105.599,7.37,16.6,12.0
2020,,121.677,16.984,105.599,7.37,16.6,12.0
2020,,126.306,16.984,105.599,7.37,16.6,12.0
2020,,129.478,16.984,105.599,7.37,16.6,12.0
2020,,134.055,16.984,105.599,7.37,16.6,12.0
2020,,137.514,16.984,105.599,7.37,16.6,12.0
2020,,141.883,16.984,105.599,7.37,16.6,12.0
2020,,144.223,16.984,105.599,7.37,16.6,12.0
2020,,147.266,16.984,105.599,7.37,16.6,12.0
2020,,149.944,16.984,105.599,7.37,16.6,12.0
2020,,151.504,16.984,105.599,7.37,16.6,12.0
2020,,153.299,16.984,105.599,7.37,16.6,12.0
2020,,156.367,16.984,105.599,7.37,16.6,12.0
