Year,Total Vaccinations (per hundred),Total Deaths (per million),Hospitalized Patients (per million),ICU Patients (per million),Positive Rate
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,
2020,,,,,0.0714
2020,,,,,0.0714
2020,,,,,0.0714
2020,,,,,0.102
2020,,,,,0.0816
2020,,,,,0.0613
2020,,,,,0.0715
2020,,,,,0.0238
2020,,,,,0.0238
2020,,,,,0.0238
2020,,,,,0.0204
2020,,,,,0.0204
2020,,,,,0.0179
2020,,,,,0.0318
2020,,,,,0.0571
2020,,,,,0.0649
2020,,,,,0.0659
2020,,,,,0.0659
2020,,,,,0.0919
2020,,,,,0.068
2020,,,,,0.0507
2020,,,,,0.0549
2020,,,,,0.0577
2020,,,,,0.0522
2020,,,,,0.0618
2020,,,,,0.0635
2020,,,,,0.0626
2020,,,,,0.0673
2020,,,,,0.0651
2020,,,,,0.0516
2020,,,,,0.0397
2020,,,,,0.0347
2020,,0.026,,,0.033
2020,,0.026,,,0.043
2020,,0.026,,,0.0386
2020,,0.026,,,0.0349
2020,,0.026,,,0.031
2020,,0.026,,,0.0293
2020,,0.026,,,0.0303
2020,,0.026,,,0.0303
2020,,0.104,,,0.0296
2020,,0.182,,,0.0294
2020,,0.208,,,0.0325
2020,,0.26,,,0.0387
2020,,0.286,,,0.0409
2020,,0.39,,,0.0448
2020,,0.39,,,0.0494
2020,,0.468,,,0.0516
2020,,0.494,,,0.0598
2020,,0.572,,,0.0628
2020,,0.624,,,0.0648
2020,,0.91,,,0.0667
2020,,1.066,,,0.0728
2020,,1.092,,,0.0764
2020,,1.456,21.74,5.279,0.0821
2020,,1.638,14.849,5.773,0.0855
2020,,1.872,15.421,5.851,0.0879
2020,,3.589,17.267,5.981,0.0896
2020,,4.863,17.865,6.501,0.0949
2020,,6.007,33.052,11.26,0.0989
2020,,7.281,35.211,11.988,0.1068
2020,,8.4,37.551,12.82,0.1125
2020,,9.856,43.012,14.147,0.1161
2020,,11.286,44.624,12.95,0.1201
2020,,13.21,46.159,13.236,0.1249
2020,,14.771,47.641,13.497,0.1278
2020,,16.955,49.695,13.002,0.1307
2020,,18.619,50.84,13.757,0.129
2020,,20.258,53.024,13.575,0.1291
2020,,23.456,53.934,13.705,0.1311
2020,,26.239,55.624,13.653,0.1375
2020,,30.972,55.91,13.393,0.1373
2020,,33.962,59.057,13.887,0.1354
2020,,38.071,60.929,13.783,0.1194
2020,,41.01,62.568,13.627,0.1077
2020,,43.87,66.572,13.419,0.101
2020,,47.615,68.445,14.069,0.0924
2020,,51.256,69.927,13.653,0.082
2020,,55.728,70.421,13.653,0.0745
2020,,59.785,71.383,13.497,0.0668
2020,,63.998,74.244,13.523,0.0648
2020,,66.442,75.388,13.653,0.0624
2020,,70.239,76.818,13.262,0.0607
2020,,74.192,76.532,13.054,0.0586
2020,,77.755,77.443,12.924,0.0577
2020,,82.591,77.781,12.95,0.055
2020,,87.948,79.679,12.768,0.0538
2020,,92.473,80.641,12.742,0.0508
2020,,95.464,81.135,12.534,0.0498
2020,,99.937,80.693,12.716,0.0494
2020,,104.826,80.277,12.118,0.0476
2020,,109.741,79.029,11.754,0.0445
2020,,114.291,80.329,11.442,0.0436
2020,,118.478,80.329,11.156,0.0418
2020,,121.677,80.199,10.844,0.0402
2020,,126.306,81.161,10.922,0.039
2020,,129.478,78.951,10.61,0.0373
2020,,134.055,79.679,10.428,0.036
2020,,137.514,78.301,10.272,0.0357
2020,,141.883,78.067,9.908,0.0351
2020,,144.223,76.714,9.57,0.0356
2020,,147.266,78.743,9.726,0.0357
2020,,149.944,72.19,9.648,0.0358
